,Name of movie,Year of relase,Watchtime,Movie Rating,Metascore,Votes
0,The Shawshank Redemption,1994,142,9.3,82,"2,714,736"
1,The Godfather,1972,175,9.2,100,"1,885,848"
2,The Dark Knight,2008,152,9.0,84,"2,687,471"
3,The Godfather Part II,1974,202,9.0,90,"1,286,999"
4,Schindler's List,1993,195,9.0,95,"1,371,265"
5,The Lord of the Rings: The Return of the King,2003,201,9.0,94,"1,868,017"
6,12 Angry Men,1957,96,9.0,97,"802,137"
7,Pulp Fiction,1994,154,8.9,94,"2,084,486"
8,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,"1,897,562"
9,Inception,2010,148,8.8,74,"2,385,014"
10,Fight Club,1999,139,8.8,66,"2,158,293"
11,Forrest Gump,1994,142,8.8,82,"2,109,785"
12,The Lord of the Rings: The Two Towers,2002,179,8.8,87,"1,686,671"
13,"Il buono, il brutto, il cattivo",1966,161,8.8,90,"770,187"
14,Jai Bhim,2021,164,8.8,^^^^^^,"204,846"
15,777 Charlie,2022,136,8.8,^^^^^^,"33,796"
16,Rocketry: The Nambi Effect,2022,157,8.8,^^^^^^,"52,308"
17,GoodFellas,1990,145,8.7,91,"1,177,487"
18,The Matrix,1999,136,8.7,73,"1,936,230"
19,One Flew Over the Cuckoo's Nest,1975,133,8.7,84,"1,018,448"
20,The Empire Strikes Back,1980,124,8.7,82,"1,307,280"
21,Soorarai Pottru,2020,153,8.7,^^^^^^,"118,601"
22,Interstellar,2014,169,8.6,74,"1,874,326"
23,Saving Private Ryan,1998,169,8.6,91,"1,408,872"
24,The Silence of the Lambs,1991,118,8.6,86,"1,451,150"
25,Se7en,1995,127,8.6,65,"1,676,339"
26,Star Wars,1977,121,8.6,90,"1,379,696"
27,The Green Mile,1999,189,8.6,61,"1,319,517"
28,Sen to Chihiro no kamikakushi,2001,125,8.6,96,"777,434"
29,La vita è bella,1997,116,8.6,59,"704,253"
30,Terminator 2: Judgment Day,1991,137,8.6,75,"1,112,182"
31,Cidade de Deus,2002,130,8.6,79,"764,453"
32,It's a Wonderful Life,1946,130,8.6,89,"468,146"
33,Shichinin no samurai,1954,207,8.6,98,"349,800"
34,Seppuku,1962,133,8.6,85,"59,481"
35,Sita Ramam,2022,163,8.6,^^^^^^,"57,403"
36,Gisaengchung,2019,132,8.5,96,"831,435"
37,The Departed,2006,151,8.5,85,"1,341,603"
38,Whiplash,2014,106,8.5,89,"886,055"
39,Casablanca,1942,102,8.5,100,"578,344"
40,Léon,1994,110,8.5,64,"1,176,453"
41,Gladiator,2000,155,8.5,67,"1,518,944"
42,Alien,1979,117,8.5,89,"894,029"
43,Back to the Future,1985,116,8.5,87,"1,223,114"
44,The Prestige,2006,130,8.5,66,"1,349,944"
45,Apocalypse Now,1979,147,8.5,94,"676,031"
46,The Lion King,1994,88,8.5,88,"1,072,714"
47,The Usual Suspects,1995,106,8.5,77,"1,095,989"
48,The Pianist,2002,150,8.5,85,"844,880"
49,American History X,1998,119,8.5,62,"1,133,962"
50,The Intouchables,2011,112,8.5,57,"871,577"
51,Psycho,1960,109,8.5,97,"680,130"
52,Once Upon a Time in the West,1968,165,8.5,82,"334,113"
53,Hotaru no haka,1988,89,8.5,94,"282,929"
54,Rear Window,1954,112,8.5,100,"497,546"
55,Nuovo Cinema Paradiso,1988,155,8.5,80,"265,319"
56,Kaithi,2019,145,8.5,^^^^^^,"34,765"
57,Modern Times,1936,87,8.5,96,"245,924"
58,City Lights,1931,87,8.5,99,"187,033"
59,96,II 2018,158,8.5,^^^^^^,"32,556"
60,Avengers: Endgame,2019,181,8.4,78,"1,157,873"
61,Joker,I 2019,122,8.4,59,"1,323,917"
62,Django Unchained,2012,165,8.4,81,"1,579,006"
63,Raiders of the Lost Ark,1981,115,8.4,85,"977,464"
64,American Beauty,1999,122,8.4,84,"1,165,125"
65,The Dark Knight Rises,2012,164,8.4,78,"1,724,594"
66,Avengers: Infinity War,2018,149,8.4,68,"1,103,482"
67,Idi i smotri,1985,142,8.4,^^^^^^,"83,406"
68,Spider-Man: Into the Spider-Verse,2018,117,8.4,87,"547,127"
69,The Shining,1980,146,8.4,66,"1,036,924"
70,Braveheart,1995,178,8.4,68,"1,047,721"
71,Oldeuboi,2003,101,8.4,77,"588,836"
72,Aliens,1986,137,8.4,84,"726,153"
73,Memento,2000,113,8.4,81,"1,252,239"
74,Coco,I 2017,105,8.4,81,"522,646"
75,Hamilton,2020,160,8.4,89,"98,778"
76,Amadeus,1984,160,8.4,88,"406,145"
77,Kimi no na wa.,2016,106,8.4,79,"277,740"
78,WALL·E,2008,98,8.4,95,"1,130,451"
79,3 Idiots,2009,170,8.4,67,"406,510"
80,The Lives of Others,2006,137,8.4,89,"393,667"
81,Capharnaüm,2018,126,8.4,75,"93,083"
82,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,97,"496,317"
83,Das Boot,1981,149,8.4,86,"253,727"
84,Sunset Blvd.,1950,110,8.4,^^^^^^,"224,877"
85,Paths of Glory,1957,88,8.4,90,"200,357"
86,Witness for the Prosecution,1957,116,8.4,76,"127,816"
87,The Great Dictator,1940,125,8.4,^^^^^^,"226,808"
88,Tengoku to jigoku,1963,143,8.4,90,"46,818"
89,Shershaah,2021,135,8.4,^^^^^^,"123,712"
90,Sardar Udham,2021,164,8.4,^^^^^^,"43,562"
91,Asuran,2019,141,8.4,^^^^^^,"30,671"
92,Drishyam 2,2021,152,8.4,^^^^^^,"38,608"
93,Top Gun: Maverick,2022,130,8.3,78,"548,250"
94,Heat,1995,170,8.3,76,"665,688"
95,Good Will Hunting,1997,126,8.3,70,"989,193"
96,Inglourious Basterds,2009,153,8.3,69,"1,472,688"
97,Requiem for a Dream,2000,102,8.3,71,"853,441"
98,2001: A Space Odyssey,1968,149,8.3,84,"678,082"
99,Eternal Sunshine of the Spotless Mind,2004,108,8.3,89,"1,021,330"
100,The Shawshank Redemption,1994,142,9.3,82,"2,714,736"
101,The Godfather,1972,175,9.2,100,"1,885,848"
102,The Dark Knight,2008,152,9.0,84,"2,687,471"
103,The Godfather Part II,1974,202,9.0,90,"1,286,999"
104,Schindler's List,1993,195,9.0,95,"1,371,265"
105,The Lord of the Rings: The Return of the King,2003,201,9.0,94,"1,868,017"
106,12 Angry Men,1957,96,9.0,97,"802,137"
107,Pulp Fiction,1994,154,8.9,94,"2,084,486"
108,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,"1,897,562"
109,Inception,2010,148,8.8,74,"2,385,014"
110,Fight Club,1999,139,8.8,66,"2,158,293"
111,Forrest Gump,1994,142,8.8,82,"2,109,785"
112,The Lord of the Rings: The Two Towers,2002,179,8.8,87,"1,686,671"
113,"Il buono, il brutto, il cattivo",1966,161,8.8,90,"770,187"
114,Jai Bhim,2021,164,8.8,^^^^^^,"204,846"
115,777 Charlie,2022,136,8.8,^^^^^^,"33,796"
116,Rocketry: The Nambi Effect,2022,157,8.8,^^^^^^,"52,308"
117,GoodFellas,1990,145,8.7,91,"1,177,487"
118,The Matrix,1999,136,8.7,73,"1,936,230"
119,One Flew Over the Cuckoo's Nest,1975,133,8.7,84,"1,018,448"
120,The Empire Strikes Back,1980,124,8.7,82,"1,307,280"
121,Soorarai Pottru,2020,153,8.7,^^^^^^,"118,601"
122,Interstellar,2014,169,8.6,74,"1,874,326"
123,Saving Private Ryan,1998,169,8.6,91,"1,408,872"
124,The Silence of the Lambs,1991,118,8.6,86,"1,451,150"
125,Se7en,1995,127,8.6,65,"1,676,339"
126,Star Wars,1977,121,8.6,90,"1,379,696"
127,The Green Mile,1999,189,8.6,61,"1,319,517"
128,Sen to Chihiro no kamikakushi,2001,125,8.6,96,"777,434"
129,La vita è bella,1997,116,8.6,59,"704,253"
130,Terminator 2: Judgment Day,1991,137,8.6,75,"1,112,182"
131,Cidade de Deus,2002,130,8.6,79,"764,453"
132,It's a Wonderful Life,1946,130,8.6,89,"468,146"
133,Shichinin no samurai,1954,207,8.6,98,"349,800"
134,Seppuku,1962,133,8.6,85,"59,481"
135,Sita Ramam,2022,163,8.6,^^^^^^,"57,403"
136,Gisaengchung,2019,132,8.5,96,"831,435"
137,The Departed,2006,151,8.5,85,"1,341,603"
138,Whiplash,2014,106,8.5,89,"886,055"
139,Casablanca,1942,102,8.5,100,"578,344"
140,Léon,1994,110,8.5,64,"1,176,453"
141,Gladiator,2000,155,8.5,67,"1,518,944"
142,Alien,1979,117,8.5,89,"894,029"
143,Back to the Future,1985,116,8.5,87,"1,223,114"
144,The Prestige,2006,130,8.5,66,"1,349,944"
145,Apocalypse Now,1979,147,8.5,94,"676,031"
146,The Lion King,1994,88,8.5,88,"1,072,714"
147,The Usual Suspects,1995,106,8.5,77,"1,095,989"
148,The Pianist,2002,150,8.5,85,"844,880"
149,American History X,1998,119,8.5,62,"1,133,962"
150,The Intouchables,2011,112,8.5,57,"871,577"
151,Psycho,1960,109,8.5,97,"680,130"
152,Once Upon a Time in the West,1968,165,8.5,82,"334,113"
153,Hotaru no haka,1988,89,8.5,94,"282,929"
154,Rear Window,1954,112,8.5,100,"497,546"
155,Nuovo Cinema Paradiso,1988,155,8.5,80,"265,319"
156,Kaithi,2019,145,8.5,^^^^^^,"34,765"
157,Modern Times,1936,87,8.5,96,"245,924"
158,City Lights,1931,87,8.5,99,"187,033"
159,96,II 2018,158,8.5,^^^^^^,"32,556"
160,Avengers: Endgame,2019,181,8.4,78,"1,157,873"
